"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"TACC1" 2.58211556532671 11.3453917215484 18.9255680730879 9.41630294019803e-33 1.3442562405433e-30 64.090844030815
"VAMP5" 3.41832863422639 10.0558432870649 18.8967830611608 1.0486844388557e-32 1.48710444659331e-30 63.9831035343796
"PIF1" -2.63679429155932 7.71436455874207 -18.8940007039574 1.05966202870543e-32 1.49271993460882e-30 63.9726839706432
"TMEM173" 4.00197208547976 7.93427733669688 18.8804028623366 1.1150020521886e-32 1.56034267448051e-30 63.9217481959772
"CST3" 2.51950548765742 11.8173260703671 18.8641781028626 1.1848617803535e-32 1.64726764247708e-30 63.8609426898671
"TGFBR2" 3.36485597996376 9.49931024331097 18.7718853871142 1.67517090926456e-32 2.31380262408873e-30 63.5144433294251
"NMU" -4.08340750361083 8.34078881414601 -18.6205997811989 2.9617702542401e-32 4.06450419857685e-30 62.9441988789769
"SLCO1A2" -1.01992066062617 5.86991727674384 -18.6185037227862 2.98530606860675e-32 4.07054137085476e-30 62.9362783497182
"LOC168474" -2.44013135954137 7.07809129858248 -18.6155468590105 3.0188286347302e-32 4.09003209486281e-30 62.9251041105011
"TMEM9B" 1.5011629935671 10.2487712971928 18.5755511251521 3.51141019528338e-32 4.72729153568815e-30 62.7738508080857
"GNG4" -2.89133218227005 7.33924876586101 -18.5588642023222 3.7401936360693e-32 5.00362634168743e-30 62.710686863934
"GABRA5" -1.72491921626126 6.1855508639361 -18.5530174843338 3.82386282099568e-32 5.08358662908744e-30 62.6885475151265
"PPAT" -2.37174842108513 9.71500752187613 -18.5324527395268 4.13344182855178e-32 5.46102118851708e-30 62.6106428947522
"TBC1D9" 2.96510876995116 7.94473751757089 18.5299322456697 4.17308469349124e-32 5.47936324168223e-30 62.6010910087655
"MRS2" -2.35085337338181 8.84908579849732 -18.5195027314566 4.34124048218476e-32 5.66518566236515e-30 62.5615580482612
"PIM2" -3.44118040096658 9.85680540962996 -18.5079235879239 4.53595153559808e-32 5.88318445815286e-30 62.5176516662577
"C8ORF42" -2.06624906735667 7.43300350097929 -18.461950372668 5.39997701590858e-32 6.96138855184191e-30 62.3431643376365
"C15ORF42" -2.38318513415243 7.25190600551091 -18.4061869647826 6.67408805966026e-32 8.55207994680924e-30 62.1311676989801
"ANKRD24" -2.3309128252465 7.33651868012492 -18.4020039160387 6.78109639377252e-32 8.63716774802008e-30 62.1152493855341
"FLJ25404" -4.35735591014499 8.53969717857332 -18.3534643519169 8.15694421736672e-32 1.03277595504528e-29 61.930376461579
"CTSL2" -4.35378412666826 8.99933619450754 -18.2785413273392 1.08544838767825e-31 1.36618773102391e-29 61.6444419234452
"RNF103" 1.63584360842525 9.7816217143753 18.2757948873191 1.09689060195601e-31 1.37246823495331e-29 61.633947203339
"ARID5B" 4.78103697424025 9.54647676343733 18.2447505375214 1.23500579939189e-31 1.53624610285759e-29 61.5152549600091
"SUV420H1" -1.45094518868286 8.29930836017856 -18.2217662555467 1.34845182527375e-31 1.66761155670918e-29 61.4273015261578
"ZNF800" 1.71035433494607 8.35033380687971 18.1738557774233 1.61988387384591e-31 1.99170808558245e-29 61.243751847104
"EPHA1" -4.03749897906056 8.53564788959504 -18.080361535415 2.31882079673435e-31 2.83469179122623e-29 60.8847411660353
"HS.283402" -1.92348912791301 8.38498607269841 -18.0647121494411 2.46256999053229e-31 2.9932186439207e-29 60.8245419896794
