"Sample.id" "cell.type" "cell.line.tissue.type" "gender"
"GSM760058" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF015" "Male"
"GSM760059" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF017" "Male"
"GSM760060" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF017" "Male"
"GSM760061" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF021" "Male"
"GSM760062" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF021" "Male"
"GSM760063" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF022" "Male"
"GSM760064" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF022" "Male"
"GSM760065" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF025" "Male"
"GSM760066" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF026" "Male"
"GSM760067" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF043" "Male"
"GSM760068" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF044" "Male"
"GSM760069" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF045" "Male"
"GSM760070" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF048" "Male"
"GSM760071" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF050" "Male"
"GSM760072" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS10" "Female"
"GSM760073" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS11" "Female"
"GSM760074" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS12" "Female"
"GSM760075" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS13" "Female"
"GSM760076" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS1" "Female"
"GSM760077" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS2" "Female"
"GSM760078" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS3" "Female"
"GSM760079" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS5" "Female"
"GSM760080" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS6" "Female"
"GSM760081" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS7" "Female"
"GSM760082" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS9" "Female"
"GSM760083" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS10" "Female"
"GSM760084" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS11" "Female"
"GSM760085" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS12" "Female"
"GSM760086" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS13" "Female"
"GSM760087" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS1" "Female"
"GSM760088" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS2" "Female"
"GSM760089" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS3" "Female"
"GSM760090" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS5" "Female"
"GSM760091" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS6" "Female"
"GSM760092" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS7" "Female"
"GSM760093" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: HDF51IPS9" "Female"
"GSM760094" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: GOTTESFELD3816.5" "Female"
"GSM760095" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: GOTTESFELD8.2A4R" "Female"
"GSM760096" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: IPS-IMR90C2" "Female"
"GSM760097" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: IPS-IMR90C4" "Female"
"GSM760098" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: KIPS4F1" "Female"
"GSM760099" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: C14" "Male"
"GSM760100" "cell type: induced pluripotent stem cell, undifferentiated" "cell line: IPS-Foreskin-CL1" "Male"
